"","team_api_id","team_long_name","BuildUpPlay","ChanceCreation","defence","goals"
"1",1601,"Ruch Chorzów",156,205,175,280
"2",1773,"Oud-Heverlee Leuven",153,157,137,126
"3",1957,"Jagiellonia Białystok",189,165,210,287
"4",2033,"S.C. Olhanense",182,178,155,138
"5",2182,"Lech Poznań",179,208,181,372
"6",2183,"P. Warszawa",81,210,177,184
"7",2186,"Cracovia",166,210,205,235
"8",4087,"Évian Thonon Gaillard FC",177,182,168,180
"9",4170,"US Boulogne Cote D'Opale",87,177,200,31
"10",6269,"Novara",185,181,173,34
"11",6351,"KAS Eupen",105,160,155,28
"12",6391,"GFC Ajaccio",166,179,146,37
"13",6403,"FC Paços de Ferreira",153,184,168,292
"14",6413,"PEC Zwolle",154,165,181,204
"15",6421,"Leixões SC",60,165,90,55
"16",6433,"Go Ahead Eagles",169,132,141,74
"17",6493,"AC Bellinzona",101,175,151,128
"18",6547,"FC Penafiel",147,146,121,29
"19",6631,"FC Dordrecht",134,176,164,24
"20",7730,"FC Lausanne-Sports",166,172,170,99
"21",7788,"SC Cambuur",141,159,138,119
"22",7794,"SC Bastia",180,162,210,165
"23",7819,"SM Caen",167,180,205,220
"24",7841,"Rio Ave FC",163,190,161,248
"25",7842,"Estoril Praia",174,139,150,167
"26",7844,"Vitória Guimarães",164,191,182,300
"27",7869,"Córdoba CF",159,186,133,22
"28",7878,"Granada CF",178,203,171,179
"29",7943,"Sassuolo",188,193,154,141
"30",7955,"Neuchâtel Xamax",110,190,150,171
"31",8019,"Górnik Łęczna",140,139,149,61
"32",8020,"Polonia Bytom",96,150,185,245
"33",8021,"Zagłębie Lubin",164,203,210,207
"34",8023,"Pogoń Szczecin",169,185,180,152
"35",8024,"Widzew Łódź",190,192,160,122
"36",8025,"Śląsk Wrocław",183,188,181,318
"37",8027,"Zawisza Bydgoszcz",145,168,143,75
"38",8028,"Piast Gliwice",183,200,195,204
"39",8030,"Lechia Gdańsk",163,201,205,279
"40",8031,"Polonia Bytom",96,150,185,88
"41",8033,"Podbeskidzie Bielsko-Biała",193,166,152,169
"42",8066,"Inverness Caledonian Thistle",177,192,155,345
"43",8121,"Angers SCO",176,182,151,40
"44",8152,"FC St. Pauli",176,208,189,35
"45",8165,"1. FC Nürnberg",158,198,163,193
"46",8177,"Hertha BSC Berlin",175,197,172,238
"47",8178,"Bayer 04 Leverkusen",158,217,212,483
"48",8191,"Burnley",176,212,205,70
"49",8194,"Fortuna Düsseldorf",210,193,180,39
"50",8197,"Leicester City",181,209,210,114
"51",8203,"KV Mechelen",169,155,190,285
"52",8226,"TSG 1899 Hoffenheim",187,202,203,400
"53",8234,"FC Ingolstadt 04",168,159,145,33
"54",8242,"Odra Wodzisław",75,155,205,50
"55",8244,"Widzew Łódź",190,192,160,50
"56",8245,"Korona Kielce",210,187,195,237
"57",8262,"SV Darmstadt 98",179,174,129,38
"58",8277,"Vitesse",162,193,184,423
"59",8284,"Dundee FC",146,164,156,127
"60",8295,"Karlsruher SC",180,206,176,30
"61",8302,"Sevilla FC",186,208,198,478
"62",8305,"Getafe CF",141,182,170,345
"63",8306,"UD Las Palmas",165,198,176,45
"64",8315,"Athletic Club de Bilbao",185,192,187,415
"65",8322,"Arka Gdynia",91,177,205,77
"66",8342,"Club Brugge KV",173,182,200,421
"67",8344,"Cardiff City",178,210,210,32
"68",8348,"Moreirense FC",139,144,138,101
"69",8350,"1. FC Kaiserslautern",175,194,210,72
"70",8357,"SpVgg Greuther Fürth",181,196,181,26
"71",8358,"SC Freiburg",178,192,171,245
"72",8370,"Rayo Vallecano",160,170,183,247
"73",8371,"CA Osasuna",162,193,182,232
"74",8372,"SD Eibar",165,179,142,83
"75",8388,"CD Numancia",172,166,167,38
"76",8394,"Real Zaragoza",154,179,158,159
"77",8398,"FC Energie Cottbus",166,194,206,30
"78",8406,"FC Augsburg",188,196,176,201
"79",8426,"Partick Thistle F.C.",145,162,145,135
"80",8429,"Hamilton Academical FC",188,214,195,185
"81",8455,"Chelsea",182,210,172,583
"82",8456,"Manchester City",165,215,184,606
"83",8457,"Dunfermline Athletic",115,168,148,40
"84",8460,"SC Paderborn 07",181,172,149,31
"85",8462,"Portsmouth",172,196,167,72
"86",8464,"N.E.C.",150,190,152,310
"87",8466,"Southampton",166,205,210,216
"88",8467,"St. Johnstone FC",180,154,170,308
"89",8472,"Sunderland",180,214,182,333
"90",8475,"Waasland-Beveren",160,146,114,105
"91",8479,"RC Recreativo",161,169,161,34
"92",8481,"AS Nancy-Lorraine",162,197,210,203
"93",8483,"Blackpool",186,205,210,55
"94",8485,"Aberdeen",204,212,200,365
"95",8521,"Stade Brestois 29",175,181,210,99
"96",8524,"Atalanta",160,173,186,283
"97",8525,"Willem II",171,188,168,222
"98",8526,"De Graafschap",78,157,147,130
"99",8528,"Wigan Athletic",177,197,197,200
"100",8529,"Cagliari",171,203,190,309
"101",8530,"Catania",177,195,156,251
"102",8533,"Chievo Verona",187,184,181,285
"103",8534,"Empoli",163,196,178,86
"104",8535,"Fiorentina",172,188,184,440
"105",8537,"Livorno",190,194,174,66
"106",8540,"Palermo",182,195,163,351
"107",8543,"Lazio",192,220,195,417
"108",8548,"Rangers",173,219,200,324
"109",8549,"Middlesbrough",174,212,176,28
"110",8550,"FC Metz",178,180,165,31
"111",8551,"Siena",149,186,165,149
"112",8558,"RCD Espanyol",175,212,188,338
